============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 2.5, S_EE = 1.1776, F = 0.2916, χ = 239 / 1500, step_time = 4.1407 s, elapsed_time = 267.8795 s, estimated_remaining_time = 787.8809 s
t = 2.55, S_EE = 1.1789, F = 0.2915, χ = 246 / 1500, step_time = 5.7701 s, elapsed_time = 277.9213 s, estimated_remaining_time = 796.3514 s
t = 2.6, S_EE = 1.1802, F = 0.2915, χ = 252 / 1500, step_time = 4.8564 s, elapsed_time = 287.2657 s, estimated_remaining_time = 802.1759 s
t = 2.65, S_EE = 1.1815, F = 0.2914, χ = 259 / 1500, step_time = 5.925 s, elapsed_time = 297.9844 s, estimated_remaining_time = 811.1798 s
t = 2.7, S_EE = 1.1829, F = 0.2913, χ = 265 / 1500, step_time = 5.6756 s, elapsed_time = 308.9806 s, estimated_remaining_time = 820.203 s
t = 2.75, S_EE = 1.1842, F = 0.2912, χ = 271 / 1500, step_time = 6.1462 s, elapsed_time = 320.0807 s, estimated_remaining_time = 828.7804 s
t = 2.8, S_EE = 1.1855, F = 0.2911, χ = 278 / 1500, step_time = 6.5119 s, elapsed_time = 333.2306 s, estimated_remaining_time = 841.8457 s
t = 2.85, S_EE = 1.1868, F = 0.291, χ = 285 / 1500, step_time = 6.252 s, elapsed_time = 345.538 s, estimated_remaining_time = 851.9299 s
t = 2.9, S_EE = 1.1882, F = 0.2909, χ = 291 / 1500, step_time = 6.1989 s, elapsed_time = 357.0352 s, estimated_remaining_time = 859.3051 s
t = 2.95, S_EE = 1.1895, F = 0.2908, χ = 298 / 1500, step_time = 6.7634 s, elapsed_time = 369.6275 s, estimated_remaining_time = 868.6246 s
t = 3.0, S_EE = 1.1908, F = 0.2907, χ = 305 / 1500, step_time = 7.0456 s, elapsed_time = 382.8191 s, estimated_remaining_time = 878.6012 s
